movie_code,movie_name_ko,movie_name_en,movie_name_og,open_dt,show_tm,genres,directors,watch_grade_nm
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,20190702,129,액션/어드벤처/코미디/SF,존 왓츠,12세이상관람가
20192725,명탐정 코난: 감청의 권,Detective Conan: The Fist of Blue Sapphire,名探偵コナン: 紺青の拳,20190724,109,애니메이션,나가오카 치카,12세이상관람가
20190002,롱 샷,LONG SHOT,,20190724,124,코미디,조나단 레빈,15세이상관람가
20184047,토이 스토리 4,Toy Story 4,,20190620,99,애니메이션/어드벤처/코미디,조시 쿨리,전체관람가
20185353,기방도령,HOMME FATALE,,20190710,110,코미디/사극,남대중,15세이상관람가
20185986,진범,The Culprit,,20190710,100,스릴러,고정욱,15세이상관람가
20192222,사일런스,The Silence,,20190717,90,공포(호러)/스릴러,존 R. 레오네티,15세이상관람가
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,20190711,68,애니메이션,히라야마 미호,전체관람가
20192151,미드소마,Midsommar,,20190711,147,공포(호러),아리 애스터,청소년관람불가
20199951,애나벨 집으로,Annabelle Comes Home,,20190626,105,공포(호러)/미스터리/스릴러,게리 도버먼,15세이상관람가
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,20190626,131,액션/범죄/스릴러,채드 스타헬스키,청소년관람불가
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,20190619,117,액션/드라마,강윤성,15세이상관람가
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,20190613,113,애니메이션/어드벤처,로버트 페르난데스,전체관람가
20182585,비스트,The Beast,,20190626,130,범죄/스릴러,이정호,15세이상관람가
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,,기타,,
20192022,마담 싸이코,Greta,,20190626,98,공포(호러)/스릴러,닐 조단,15세이상관람가
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,20190612,115,액션/코미디/SF,F. 게리 그레이,12세이상관람가
20190885,사탄의 인형,Child's Play,,20190620,90,공포(호러),라스 클리브버그,청소년관람불가
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,20190605,113,액션/어드벤처/SF,사이먼 킨버그,12세이상관람가
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,20190613,120,드라마,미미 레더,12세이상관람가
